YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1975,2.74,1.90,4.30,8.61,18.57,21.17,24.14,23.33,17.65,14.89,11.08,1.92,2.84,10.49,22.88,14.54,12.69
1976,-2.81,4.15,6.68,12.56,15.45,22.64,23.57,23.30,19.01,11.37,5.15,-1.38,1.09,11.56,23.17,11.84,11.92
1977,-5.74,0.58,7.96,11.82,18.12,20.98,25.88,24.05,19.86,12.51,8.27,1.78,-2.18,12.63,23.64,13.55,11.91
1978,-2.47,-2.91,3.65,10.64,16.14,21.56,23.27,24.21,18.06,12.48,8.52,3.56,-1.20,10.14,23.01,13.02,11.24
1979,0.62,-3.87,8.01,11.19,18.25,20.42,24.69,24.62,21.15,13.83,11.17,4.80,0.10,12.48,23.24,15.38,12.80
1980,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1981,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1982,-3.73,1.40,5.04,10.22,17.37,19.86,25.05,22.38,19.71,14.29,9.74,5.52,-0.46,10.88,22.43,14.58,11.86
1983,0.94,2.01,6.20,10.83,15.18,22.54,25.95,24.96,21.64,13.91,8.90,1.31,2.82,10.74,24.48,14.82,13.21
1984,-1.63,4.35,2.15,10.60,16.03,23.15,23.26,24.35,18.40,16.09,8.02,6.06,1.34,9.59,23.59,14.17,12.17
1985,-2.22,2.10,7.20,12.61,18.02,19.88,24.09,23.66,20.91,14.80,9.57,0.80,1.98,12.61,22.54,15.09,13.06
1986,0.74,-0.47,6.83,12.05,18.46,21.53,24.02,22.40,19.47,14.00,7.18,3.46,0.36,12.45,22.65,13.55,12.25
1987,-0.28,0.23,6.86,11.45,17.11,22.25,25.08,23.00,19.41,11.67,8.30,3.75,1.14,11.81,23.44,13.13,12.38
1988,-1.83,1.20,6.00,10.20,16.58,21.68,25.86,25.56,19.25,11.08,9.22,1.74,1.04,10.93,24.37,13.18,12.38
1989,2.56,0.97,5.34,10.77,16.28,21.81,23.41,22.89,19.62,14.10,7.17,-3.84,1.76,10.80,22.70,13.63,12.22
1990,4.77,3.86,6.84,11.50,15.25,21.86,24.44,23.61,19.30,16.17,9.77,5.45,1.60,11.20,23.30,15.08,12.79
1991,1.17,3.98,6.58,12.72,19.96,22.94,24.97,24.63,19.27,14.24,8.62,3.78,3.53,13.09,24.18,14.04,13.71
1992,1.64,2.00,4.01,9.85,15.69,20.81,23.00,22.29,19.13,12.08,7.63,2.84,2.47,9.85,22.03,12.95,11.83
1993,2.00,-1.10,3.83,11.40,18.28,22.50,26.32,24.69,19.18,12.88,8.92,2.54,1.25,11.17,24.50,13.66,12.64
1994,-4.00,-1.20,4.39,12.71,16.12,23.57,25.90,22.90,19.38,14.02,10.66,5.23,-0.89,11.07,24.12,14.69,12.25
1995,2.66,-0.65,6.80,10.65,16.19,21.71,25.78,25.45,19.73,16.04,6.03,-0.19,2.41,11.21,24.31,13.93,12.97
1996,-1.23,0.62,3.44,11.30,16.22,21.95,23.02,23.65,20.05,13.60,6.15,5.22,-0.27,10.32,22.87,13.27,11.55
1997,0.15,4.51,5.54,11.00,15.25,21.67,24.35,23.01,19.48,13.81,7.00,3.53,3.29,10.60,23.01,13.43,12.58
1998,4.51,4.86,7.50,12.27,18.02,20.70,24.76,24.87,21.31,14.25,9.01,6.27,4.30,12.60,23.44,14.86,13.80
1999,1.13,3.87,5.92,12.02,17.32,22.94,27.50,24.25,20.65,13.43,10.50,4.48,3.76,11.75,24.90,14.86,13.82
2000,-0.32,3.01,8.50,10.63,17.59,21.90,22.47,22.53,18.94,13.94,7.44,-0.42,2.39,12.24,22.30,13.44,12.59
2001,0.98,2.24,4.32,12.25,17.62,22.82,22.93,26.01,19.88,14.79,11.57,6.78,0.93,11.40,23.92,15.41,12.92
2002,4.50,4.85,6.83,13.48,16.01,22.00,26.07,25.48,21.33,12.97,7.87,2.32,5.38,12.11,24.52,14.06,14.01
2003,-2.41,-0.97,6.26,9.98,14.92,20.28,24.39,24.92,20.04,12.94,10.10,3.20,-0.35,10.39,23.20,14.36,11.90
2004,-3.95,1.78,6.51,12.07,18.53,21.89,23.70,23.55,20.83,13.41,9.07,3.63,0.34,12.37,23.05,14.44,12.55
2005,-0.28,2.61,4.24,12.95,15.05,23.44,25.40,26.57,23.04,14.48,9.88,1.91,1.99,10.75,25.14,15.80,13.42
2006,5.03,2.17,6.25,13.25,17.37,21.76,25.62,24.41,19.30,13.57,11.16,6.55,3.04,12.29,23.93,14.68,13.48
2007,3.14,-1.98,5.77,10.28,18.56,21.97,23.97,23.45,21.35,17.65,7.55,2.86,2.57,11.54,23.13,15.52,13.19
2008,2.61,2.21,6.01,12.85,15.70,23.44,25.89,23.33,20.57,12.96,7.79,3.50,2.56,11.52,24.22,13.77,13.02
